1991.199951	-59.20410156
1991.300049	-59.14306641
1991.400024	-59.14306641
1991.5	-59.08203125
1991.599976	-59.08203125
1991.699951	-59.14306641
1991.800049	-59.14306641
1991.900024	-59.26513672
1992	-59.14306641
1992.099976	-59.20410156
1992.199951	-59.14306641
1992.300049	-59.17358398
1992.400024	-59.14306641
1992.5	-59.05151367
1992.599976	-59.11254883
1992.699951	-59.05151367
1992.800049	-59.11254883
1992.900024	-59.08203125
1993	-59.17358398
1993.099976	-59.11254883
1993.199951	-59.11254883
1993.300049	-59.14306641
1993.400024	-59.05151367
1993.5	-59.14306641
1993.599976	-59.11254883
1993.699951	-59.17358398
1993.800049	-59.17358398
1993.900024	-59.14306641
1994	-59.14306641
1994.099976	-59.14306641
1994.199951	-59.14306641
1994.300049	-59.11254883
1994.400024	-59.17358398
1994.5	-59.11254883
1994.599976	-59.17358398
1994.699951	-59.11254883
1994.800049	-59.11254883
1994.900024	-59.14306641
1995	-59.17358398
1995.099976	-59.20410156
1995.199951	-59.14306641
1995.300049	-59.26513672
1995.400024	-59.08203125
1995.5	-59.08203125
1995.599976	-59.14306641
1995.699951	-59.14306641
1995.800049	-59.23461914
1995.900024	-59.20410156
1996	-59.17358398
1996.099976	-59.11254883
1996.199951	-59.17358398
1996.300049	-59.14306641
1996.400024	-59.11254883
1996.5	-59.17358398
1996.599976	-59.11254883
1996.699951	-59.26513672
1996.800049	-59.11254883
1996.900024	-59.11254883
1997	-59.17358398
1997.099976	-59.23461914
1997.199951	-59.23461914
1997.300049	-59.17358398
1997.400024	-59.23461914
1997.5	-59.20410156
1997.599976	-59.23461914
1997.699951	-59.17358398
1997.800049	-59.20410156
1997.900024	-59.23461914
1998	-59.20410156
1998.099976	-59.23461914
1998.199951	-59.17358398
1998.300049	-59.20410156
1998.400024	-59.17358398
1998.5	-59.14306641
1998.599976	-59.23461914
1998.699951	-59.23461914
1998.800049	-59.20410156
1998.900024	-59.20410156
1999	-59.23461914
1999.099976	-59.23461914
1999.199951	-59.20410156
1999.300049	-59.20410156
1999.400024	-59.26513672
1999.5	-59.26513672
1999.599976	-59.20410156
1999.699951	-59.32617188
1999.800049	-59.26513672
1999.900024	-59.2956543
2000	-59.23461914
2000.099976	-59.23461914
2000.199951	-59.26513672
2000.300049	-59.26513672
2000.400024	-59.26513672
2000.5	-59.26513672
2000.599976	-59.26513672
2000.699951	-59.26513672
2000.800049	-59.23461914
2000.900024	-59.2956543
2001	-59.32617188
2001.099976	-59.32617188
2001.199951	-59.26513672
2001.300049	-59.26513672
2001.400024	-59.32617188
2001.5	-59.2956543
2001.599976	-59.20410156
2001.699951	-59.20410156
2001.800049	-59.35668945
2001.900024	-59.2956543
2002	-59.26513672
2002.099976	-59.2956543
2002.199951	-59.2956543
2002.300049	-59.2956543
2002.400024	-59.26513672
2002.5	-59.32617188
2002.599976	-59.35668945
2002.699951	-59.32617188
2002.800049	-59.26513672
2002.900024	-59.2956543
2003	-59.32617188
2003.099976	-59.23461914
2003.199951	-59.2956543
2003.300049	-59.38720703
2003.400024	-59.26513672
2003.5	-59.23461914
2003.599976	-59.26513672
2003.699951	-59.23461914
2003.800049	-59.20410156
2003.900024	-59.2956543
2004	-59.20410156
2004.099976	-59.32617188
2004.199951	-59.17358398
2004.300049	-59.32617188
2004.400024	-59.26513672
2004.5	-59.17358398
2004.599976	-59.26513672
2004.699951	-59.14306641
2004.800049	-59.26513672
2004.900024	-59.14306641
2005	-59.17358398
2005.099976	-59.17358398
2005.199951	-59.20410156
2005.300049	-59.26513672
2005.400024	-59.20410156
2005.5	-59.20410156
2005.599976	-59.17358398
2005.699951	-59.14306641
2005.800049	-59.14306641
2005.900024	-59.14306641
2006	-59.20410156
2006.099976	-59.17358398
2006.199951	-59.23461914
2006.300049	-59.20410156
2006.400024	-59.20410156
2006.5	-59.20410156
2006.599976	-59.23461914
2006.699951	-59.23461914
2006.800049	-59.23461914
2006.900024	-59.23461914
2007	-59.20410156
2007.099976	-59.32617188
2007.199951	-59.23461914
2007.300049	-59.23461914
2007.400024	-59.23461914
2007.5	-59.23461914
2007.599976	-59.26513672
2007.699951	-59.2956543
2007.800049	-59.2956543
2007.900024	-59.2956543
2008	-59.2956543
2008.099976	-59.26513672
2008.199951	-59.23461914
2008.300049	-59.23461914
2008.400024	-59.20410156
2008.5	-59.26513672
2008.599976	-59.17358398
2008.699951	-59.17358398
2008.800049	-59.17358398
2008.900024	-59.14306641
2009	-59.11254883
2009.099976	-59.14306641
2009.199951	-59.14306641
2009.300049	-59.11254883
2009.400024	-59.14306641
2009.5	-59.05151367
2009.599976	-59.08203125
2009.699951	-59.08203125
2009.800049	-59.05151367
2009.900024	-59.08203125
2010	-59.05151367
2010.099976	-59.14306641
2010.199951	-59.08203125
2010.300049	-59.14306641
2010.400024	-59.08203125
2010.5	-58.99047852
2010.599976	-59.08203125
2010.699951	-59.05151367
2010.800049	-59.11254883
2010.900024	-59.08203125
2011	-59.14306641
2011.099976	-59.08203125
2011.199951	-59.08203125
2011.300049	-59.08203125
2011.400024	-59.08203125
2011.5	-59.05151367
2011.599976	-59.05151367
2011.699951	-59.08203125
2011.800049	-59.05151367
2011.900024	-59.05151367
2012	-59.05151367
2012.099976	-59.05151367
2012.199951	-59.11254883
2012.300049	-59.11254883
2012.400024	-59.11254883
2012.5	-59.08203125
2012.599976	-59.05151367
2012.699951	-59.02099609
2012.800049	-59.08203125
2012.900024	-59.11254883
2013	-59.08203125
2013.099976	-59.08203125
2013.199951	-59.02099609
2013.300049	-59.08203125
